date,varclose,varavg,varmax,varmin,varmedian,varmode,lossclose,lossavg,lossmax,lossmin,lossmedian,lossmode,losstotal
Jan 23,-639.0380831906999,-1089.4473871060154,2014.8519808556566,-1573.442582062835,-1179.902645913431,-1154.8595819206648,0.0,0.4528660712009666,1550.5341999996454,-1806.7563999998383,0.0,0.0,null
Jan 24,-578.4503580996092,-938.7535365465675,-435.7103461176536,-1609.7495497663424,-998.9816186520286,-969.6168763032902,0.0,0.6921064121830581,2508.320000000298,-1264.4399999999441,0.0,0.0,27631.656400002073
Jan 25,-635.7162343262601,-1335.2420019025185,-541.5658033383896,-2299.0964362587147,-1557.1603853746758,-1582.2570859741359,0.0,0.8593929058249832,4313.9000000003725,-1578.5,0.0,0.0,34549.31359998789
Jan 26,-1039.8389167264666,-2282.4149545382975,-603.5033209758683,-3231.77653094135,-2841.940635913496,-2577.2636370048754,0.0,0.43490252591174616,21750.779999999795,-5482.910999999847,0.0,0.0,17665.305699998047
Jan 27,-11457.121436534806,-1543.0015588410306,-649.2636993293141,-11649.010199525519,-1756.4275796862808,-693.5375184201736,142.65000000037253,-0.29434693331428624,66104.00999999978,-65885.2799999998,0.0,0.0,-12319.302200006787
Jan 30,-1009.9754410733062,-7377.7381107460105,-767.7613860324043,-11883.42539982154,-11567.772034529695,-11676.937545800152,0.0,-0.8983529013390997,1909.5400000000373,-5145.319999999832,0.0,0.0,-37806.28350000922
Jan 31,-740.5305326314584,-1376.7484335464553,-633.1059368181627,-2190.865698482907,-1517.981650613147,-1649.35176889805,0.0,0.10177500414259064,2271.8000000002794,-3395.4199999999255,0.0,0.0,4299.281500000507
Feb 1,-727.8880726363225,-1270.6406486819685,-673.3166398854893,-2022.8812304926153,-1302.8834894207862,-1312.8213272319651,0.0,0.1383099564439375,3416.5200000000186,-2446.0099999997765,0.0,0.0,5620.501699996181
Feb 2,-736.0669806159675,-1055.3964029581368,-662.5818146718086,-1476.497150745083,-1114.0391534600662,-963.7440695347884,0.0,0.06347078677428684,1511.25,-2355.0,0.0,0.0,2493.5767999999225
Feb 3,-931.6792418014779,-1360.520908471777,-553.5260592703546,-2033.7230038214418,-1649.5904721063318,-648.428654968713,0.0,-0.07230293420413368,3051.5800000000745,-15335.69999999972,0.0,0.0,-2989.0033000009134
